GENUS,SPECIES,ORDER,FAMILY,NUMB,SNST,REL,CP,RP,MIN,QMIN,MAX,QMAX,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
Diuca,diuca,PASSERIFORMES,EMBERIZINAE,3175,L,C,4,3,0,,2000,,3,5,N1,N2,N14,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,Y,,Y,Y
Sporophila,caerulescens,PASSERIFORMES,EMBERIZINAE,3228,L,C,4,3,0,,1200,,3,5,N14,N11,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,
Sporophila,cinnamomea,PASSERIFORMES,EMBERIZINAE,3230,M,U,3,2,0,,800,,2,1,N6,N5?,,,,,,,,,,,,,,,,,,,,,,,,,Q,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
Sporophila,(lineola) lineola,PASSERIFORMES,EMBERIZINAE,3239.01,L,C,4,2,0,,1200,,3,4,N14,N11,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
Sporophila,melanogaster,PASSERIFORMES,EMBERIZINAE,3241,M,U,3,2,500,?,900,,2,1,N5,N6,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
Sporophila,palustris,PASSERIFORMES,EMBERIZINAE,3247,M,F/P,3,2,0,,1100,,2,1,N6,N5,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
Sporophila,zelichi,PASSERIFORMES,EMBERIZINAE,3254,M,R,2,1,,?,,?,1,1,N6?,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,
Catamenia,analis,PASSERIFORMES,EMBERIZINAE,3264,L,C,4,3,1800,,3300,,3,3,N2,N3,N14,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,
Tangara,preciosa,PASSERIFORMES,THRAUPINAE,3606,L,F,4,3,0,,1000,,3,2,F9,F15,F12,,,,,,,,,,,,,Y,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,
Sturnella,superciliaris,PASSERIFORMES,ICTERIDAE,3911.01,L,C,4,3,0,,2600,,4,4,N13,N6,N5,A1,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
